"Date","Price","Open","High","Low","Vol.","Change %"
"2000-05-01","1.4968","1.4800","1.5145","1.4757","","1.07%"
"2000-04-01","1.4810","1.4495","1.4893","1.4475","","2.20%"
"2000-03-01","1.4491","1.4500","1.4773","1.4437","","0.01%"
"2000-02-01","1.4489","1.4475","1.4670","1.4357","","0.21%"
"2000-01-01","1.4459","1.4455","1.4617","1.4312","","-0.01%"
"1999-12-01","1.4460","1.4741","1.4853","1.4425","","-1.91%"
"1999-11-01","1.4741","1.4708","1.4768","1.4552","","0.25%"
"1999-10-01","1.4704","1.4669","1.4973","1.4617","","0.22%"
"1999-09-01","1.4672","1.4925","1.4993","1.4598","","-1.66%"
"1999-08-01","1.4920","1.5061","1.5128","1.4754","","-1.00%"
"1999-07-01","1.5070","1.4632","1.5176","1.4615","","3.06%"
"1999-06-01","1.4623","1.4741","1.4863","1.4543","","-0.79%"
"1999-05-01","1.4739","1.4562","1.4787","1.4451","","1.19%"
"1999-04-01","1.4565","1.5066","1.5081","1.4539","","-3.42%"
"1999-03-01","1.5080","1.5090","1.5317","1.5023","","0.00%"
"1999-02-01","1.5080","1.5110","1.5170","1.4825","","-0.17%"
"1999-01-01","1.5105","1.5315","1.5475","1.5020","","-1.31%"
"1998-12-01","1.5305","1.5352","1.5549","1.5200","","-0.16%"
"1998-11-01","1.5330","1.5440","1.5575","1.5168","","-0.63%"
"1998-10-01","1.5427","1.5305","1.5615","1.4985","","0.80%"
"1998-09-01","1.5305","1.5660","1.5682","1.4990","","-2.29%"
"1998-08-01","1.5663","1.5132","1.5850","1.5110","","3.54%"
"1998-07-01","1.5128","1.4672","1.5132","1.4604","","3.14%"
"1998-06-01","1.4667","1.4567","1.4769","1.4493","","0.69%"
"1998-05-01","1.4566","1.4310","1.4578","1.4303","","1.80%"
"1998-04-01","1.4308","1.4186","1.4417","1.4146","","0.76%"
"1998-03-01","1.4200","1.4238","1.4293","1.4040","","-0.27%"
"1998-02-01","1.4238","1.4533","1.4560","1.4162","","-2.10%"
"1998-01-01","1.4543","1.4295","1.4688","1.4213","","1.73%"
"1997-12-01","1.4295","1.4230","1.4415","1.4127","","0.44%"
"1997-11-01","1.4232","1.4082","1.4268","1.3967","","1.04%"
"1997-10-01","1.4085","1.3818","1.4166","1.3691","","1.94%"
"1997-09-01","1.3817","1.3885","1.3942","1.3786","","-0.44%"
"1997-08-01","1.3878","1.3777","1.3967","1.3771","","0.70%"
"1997-07-01","1.3782","1.3813","1.3875","1.3663","","-0.22%"
"1997-06-01","1.3813","1.3765","1.3967","1.3712","","0.35%"
"1997-05-01","1.3765","1.3975","1.3981","1.3615","","-1.52%"
"1997-04-01","1.3977","1.3842","1.4028","1.3832","","1.00%"
"1997-03-01","1.3839","1.3683","1.3858","1.3597","","1.15%"
"1997-02-01","1.3681","1.3471","1.3698","1.3406","","1.52%"
"1997-01-01","1.3476","1.3705","1.3784","1.3341","","-1.69%"
"1996-12-01","1.3708","1.3510","1.3723","1.3466","","1.42%"
"1996-11-01","1.3516","1.3386","1.3518","1.3266","","1.02%"
"1996-10-01","1.3380","1.3621","1.3636","1.3375","","-1.75%"
"1996-09-01","1.3619","1.3680","1.3748","1.3615","","-0.47%"
"1996-08-01","1.3683","1.3750","1.3784","1.3653","","-0.49%"
"1996-07-01","1.3750","1.3636","1.3767","1.3584","","0.84%"
"1996-06-01","1.3635","1.3691","1.3711","1.3570","","-0.38%"
"1996-05-01","1.3687","1.3607","1.3775","1.3575","","0.57%"
"1996-04-01","1.3609","1.3595","1.3685","1.3535","","0.13%"
"1996-03-01","1.3592","1.3704","1.3748","1.3548","","-0.80%"
"1996-02-01","1.3701","1.3740","1.3868","1.3639","","-0.25%"
"1996-01-01","1.3735","1.3640","1.3845","1.3515","","0.67%"
"1995-12-01","1.3643","1.3607","1.3822","1.3573","","0.33%"
"1995-11-01","1.3598","1.3445","1.3618","1.3397","","1.14%"
"1995-10-01","1.3445","1.3390","1.3795","1.3275","","0.20%"
"1995-09-01","1.3418","1.3435","1.3741","1.3347","","-0.09%"
"1995-08-01","1.3430","1.3650","1.3700","1.3345","","-1.61%"
"1995-07-01","1.3650","1.3721","1.3753","1.3515","","-0.52%"
"1995-06-01","1.3721","1.3705","1.3850","1.3685","","0.15%"
"1995-05-01","1.3700","1.3555","1.3739","1.3493","","1.03%"
"1995-04-01","1.3560","1.3995","1.4030","1.3555","","-3.14%"
"1995-03-01","1.4000","1.3901","1.4230","1.3899","","0.74%"
"1995-02-01","1.3897","1.4074","1.4133","1.3862","","-1.24%"
"1995-01-01","1.4072","1.4017","1.4270","1.3952","","0.38%"
"1994-12-01","1.4019","1.3760","1.4095","1.3699","","1.88%"
"1994-11-01","1.3760","1.3535","1.3802","1.3514","","1.68%"
"1994-10-01","1.3533","1.3429","1.3589","1.3422","","0.80%"
"1994-09-01","1.3425","1.3668","1.3722","1.3400","","-1.78%"
"1994-08-01","1.3668","1.3872","1.3903","1.3643","","-1.38%"
"1994-07-01","1.3859","1.3835","1.3922","1.3753","","0.17%"
"1994-06-01","1.3835","1.3833","1.3973","1.3660","","0.04%"
"1994-05-01","1.3830","1.3817","1.3887","1.3714","","0.07%"
"1994-04-01","1.3821","1.3839","1.3993","1.3703","","-0.09%"
"1994-03-01","1.3834","1.3497","1.3847","1.3472","","2.47%"
"1994-02-01","1.3500","1.3295","1.3563","1.3245","","1.56%"
"1994-01-01","1.3293","1.3217","1.3317","1.3079","","0.58%"
"1993-12-01","1.3217","1.3350","1.3486","1.3203","","-1.09%"
"1993-11-01","1.3363","1.3203","1.3390","1.2902","","1.20%"
"1993-10-01","1.3205","1.3344","1.3428","1.2982","","-1.03%"
"1993-09-01","1.3342","1.3192","1.3377","1.3072","","1.14%"
"1993-08-01","1.3192","1.2854","1.3260","1.2832","","2.64%"
"1993-07-01","1.2853","1.2823","1.2898","1.2732","","0.26%"
"1993-06-01","1.2820","1.2708","1.2858","1.2691","","0.85%"
"1993-05-01","1.2712","1.2704","1.2784","1.2591","","0.06%"
"1993-04-01","1.2704","1.2588","1.2812","1.2525","","0.95%"
"1993-03-01","1.2584","1.2512","1.2597","1.2401","","0.67%"
"1993-02-01","1.2500","1.2681","1.2717","1.2481","","-1.41%"
"1993-01-01","1.2679","1.2717","1.2883","1.2664","","-0.26%"
"1992-12-01","1.2712","1.2871","1.2908","1.2582","","-1.25%"
"1992-11-01","1.2873","1.2390","1.2948","1.2389","","3.95%"
"1992-10-01","1.2384","1.2452","1.2582","1.2317","","-0.55%"
"1992-09-01","1.2452","1.1946","1.2622","1.1932","","4.24%"
"1992-08-01","1.1946","1.1837","1.2003","1.1816","","0.92%"
