"Date","Price","Open","High","Low","Vol.","Change %"
"2000-06-28","1.4784","1.4806","1.4861","1.4779","","-0.14%"
"2000-06-27","1.4805","1.4823","1.4841","1.4798","","-0.16%"
"2000-06-26","1.4829","1.4828","1.4905","1.4810","","-0.03%"
"2000-06-23","1.4833","1.4764","1.4835","1.4744","","0.46%"
"2000-06-22","1.4765","1.4734","1.4780","1.4717","","0.20%"
"2000-06-21","1.4735","1.4711","1.4753","1.4700","","0.16%"
"2000-06-20","1.4711","1.4672","1.4716","1.4653","","0.32%"
"2000-06-19","1.4664","1.4671","1.4694","1.4629","","0.03%"
"2000-06-16","1.4659","1.4750","1.4775","1.4657","","-0.59%"
"2000-06-15","1.4746","1.4684","1.4782","1.4681","","0.46%"
"2000-06-14","1.4678","1.4682","1.4715","1.4662","","-0.03%"
"2000-06-13","1.4683","1.4762","1.4780","1.4675","","-0.53%"
"2000-06-12","1.4761","1.4745","1.4767","1.4730","","0.09%"
"2000-06-09","1.4747","1.4771","1.4789","1.4703","","-0.15%"
"2000-06-08","1.4769","1.4800","1.4817","1.4753","","-0.18%"
"2000-06-07","1.4795","1.4762","1.4803","1.4735","","0.15%"
"2000-06-06","1.4773","1.4794","1.4797","1.4738","","-0.14%"
"2000-06-05","1.4793","1.4772","1.4795","1.4731","","0.19%"
"2000-06-02","1.4765","1.4908","1.4936","1.4762","","-0.97%"
"2000-06-01","1.4910","1.4965","1.4973","1.4885","","-0.39%"
"2000-05-31","1.4968","1.5062","1.5065","1.4953","","-0.60%"
"2000-05-30","1.5059","1.4996","1.5072","1.4989","","0.38%"
"2000-05-29","1.5002","1.5033","1.5040","1.4983","","-0.19%"
"2000-05-26","1.5031","1.5031","1.5084","1.4984","","0.00%"
"2000-05-25","1.5031","1.5096","1.5145","1.5022","","-0.44%"
"2000-05-24","1.5097","1.5070","1.5128","1.5043","","0.20%"
"2000-05-23","1.5067","1.4975","1.5090","1.4945","","0.59%"
"2000-05-22","1.4979","1.4970","1.4995","1.4945","","0.11%"
"2000-05-19","1.4963","1.4991","1.5032","1.4925","","-0.19%"
"2000-05-18","1.4991","1.4975","1.5072","1.4963","","0.15%"
"2000-05-17","1.4969","1.4852","1.4997","1.4845","","0.81%"
"2000-05-16","1.4849","1.4865","1.4887","1.4835","","-0.11%"
"2000-05-15","1.4866","1.4864","1.4912","1.4853","","0.07%"
"2000-05-12","1.4855","1.4874","1.4900","1.4850","","-0.13%"
"2000-05-11","1.4875","1.4928","1.4971","1.4865","","-0.36%"
"2000-05-10","1.4928","1.4902","1.4983","1.4885","","0.19%"
"2000-05-09","1.4900","1.4921","1.4972","1.4897","","-0.13%"
"2000-05-08","1.4920","1.4912","1.4933","1.4887","","0.13%"
"2000-05-05","1.4900","1.4945","1.4991","1.4893","","-0.32%"
"2000-05-04","1.4948","1.4938","1.5003","1.4910","","0.05%"
"2000-05-03","1.4940","1.4855","1.4945","1.4840","","0.54%"
"2000-05-02","1.4860","1.4786","1.4875","1.4757","","0.49%"
"2000-05-01","1.4788","1.4800","1.4830","1.4763","","-0.15%"
"2000-04-28","1.4810","1.4766","1.4827","1.4723","","0.27%"
"2000-04-27","1.4770","1.4746","1.4846","1.4741","","0.15%"
"2000-04-26","1.4748","1.4680","1.4783","1.4668","","0.46%"
"2000-04-25","1.4680","1.4767","1.4777","1.4677","","-0.60%"
"2000-04-24","1.4768","1.4739","1.4776","1.4715","","0.22%"
"2000-04-21","1.4735","1.4743","1.4761","1.4729","","-0.05%"
"2000-04-20","1.4743","1.4755","1.4768","1.4715","","-0.09%"
"2000-04-19","1.4757","1.4814","1.4818","1.4723","","-0.34%"
"2000-04-18","1.4808","1.4851","1.4893","1.4806","","-0.30%"
"2000-04-17","1.4852","1.4768","1.4887","1.4755","","0.57%"
"2000-04-14","1.4768","1.4715","1.4778","1.4692","","0.29%"
"2000-04-13","1.4725","1.4627","1.4730","1.4605","","0.66%"
